Unnamed: 0,Unnamed: 1,Unnamed: 2,Run #1,Unnamed: 4,Unnamed: 5,Unnamed: 6,Run #2,Unnamed: 8,Unnamed: 9,Unnamed: 10,Run #3,Unnamed: 12,Unnamed: 13,Unnamed: 14,Run #4,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Place,CarNum,Team,Time,Cones,OffCourse,AdjTime,Time,Cones,OffCourse,AdjTime,Time,Cones,OffCourse,AdjTime,Time,Cones,OffCourse,AdjTime,BestTime,Penalty,Score
36,121,Univ of Saskatchewan,56.296,,,56.296,57.104,3,,63.104,63.068,,2,103.068,60.967,,1,80.967,56.296,,61.35
37,21,Oklahoma State Univ,63.805,,,63.805,60.235,1,,62.235,59.870,,,59.870,56.377,,,56.377,56.377,,60.89
38,44,Univ of Texas - Dallas,58.235,,,58.235,56.407,,,56.407,72.335,1,,74.335,,,,DNA,56.407,,60.72
39,55,Univ of Missouri,58.844,,1,78.844,56.583,,,56.583,59.181,,,59.181,56.563,,,56.563,56.563,,59.85
40,45,California State Univ - Northridge,56.611,,,56.611,76.223,,,76.223,97.370,,,97.370,83.112,,,83.112,56.611,,59.57
41,57,Oakland University,56.728,,,56.728,53.538,,1,73.538,53.854,2,,57.854,51.433,4,,59.433,56.728,,58.92
42,110,Michigan Tech Univ,57.307,,,57.307,56.042,1,,58.042,,,,DNA,,,,DNA,57.307,,55.73
43,49,Univ of Maryland - College Park,57.559,,,57.559,61.473,,3,121.473,62.951,,1,82.951,66.608,1,,68.608,57.559,,54.36
44,126,Arizona State Univ - Tempe,64.065,,,64.065,57.843,,,57.843,60.399,1,,62.399,56.425,2,,60.425,57.843,,52.83
45,66,Univ of Michigan - Dearborn,56.798,,1,76.798,58.004,,,58.004,59.125,,,59.125,,,,DNA,58.004,,51.98
46,119,California Baptist University,66.231,,2,106.231,88.806,2,,92.806,58.161,,,58.161,105.005,,1,125.005,58.161,,51.14
47,105,Univ of Southern California,60.270,,,60.270,58.186,,,58.186,,,,DNA,,,,DNA,58.186,,51.01
48,60,Univ of Illinois - Chicago,64.186,1,,66.186,58.823,1,,60.823,91.644,1,,93.644,58.206,,,58.206,58.206,,50.91
49,18,Kennesaw State University,58.406,,,58.406,85.944,1,1,107.944,,,,DNA,,,,DNA,58.406,,49.85
50,94,Univ of Colorado - Boulder,58.409,,,58.409,68.771,1,,70.771,64.209,,,64.209,60.815,1,,62.815,58.409,,49.83
51,108,Lawrence Technological Univ,79.364,2,,83.364,74.083,3,,80.083,57.052,,1,77.052,56.622,1,,58.622,58.622,,48.72
52,87,Univ of Georgia,71.796,4,,79.796,63.567,1,,65.567,61.792,2,,65.792,58.747,,,58.747,58.747,,48.07
53,17,Florida Atlantic Univ,68.468,1,,70.468,134.182,,,134.182,63.783,,,63.783,59.106,,,59.106,59.106,,46.22
54,104,Washington Univ - St Louis,59.106,,,59.106,55.465,2,,59.465,62.426,,,62.426,60.156,,,60.156,59.106,,46.22
55,95,Univ of Toledo,61.658,,,61.658,59.294,,,59.294,68.060,,,68.060,64.342,1,,66.342,59.294,,45.26
56,102,Missouri University of Science and Tech,62.530,1,,64.530,60.943,1,,62.943,59.512,,,59.512,64.029,1,2,106.029,59.512,,44.15
57,40,Universite de Sherbrooke,59.566,,,59.566,56.877,,1,76.877,67.390,,,67.390,62.315,1,,64.315,59.566,,43.88
58,22,Sacramento State Univ,59.106,1,2,101.106,58.683,1,,60.683,55.672,2,,59.672,57.141,3,,63.141,59.672,,43.35
59,47,Univ of Kentucky,54.205,1,3,116.205,55.265,,2,95.265,60.682,3,1,86.682,57.904,1,,59.904,59.904,,42.18
60,42,Univ of Oklahoma,68.379,,,68.379,59.648,,2,99.648,60.061,,,60.061,,,,DNF,60.061,,41.4
61,80,California State Univ - Fullerton,54.638,,3,114.638,60.460,,,60.460,64.377,,,64.377,60.345,2,,64.345,60.460,,39.43
62,77,Vanderbilt Univ,66.121,,,66.121,65.844,,,65.844,63.741,,,63.741,60.939,,,60.939,60.939,,37.1
63,32,Colorado School of Mines,61.475,,,61.475,93.621,,,93.621,67.362,1,,69.362,61.692,,2,101.692,61.475,,34.54
64,33,Rose Hulman Inst of Tech,66.323,3,,72.323,62.056,,,62.056,61.555,,,61.555,,,,DNA,61.555,,34.16
65,131,Univ of Ottawa,50.439,,3,110.439,55.763,3,,61.763,,,,DNA,,,,DNA,61.763,,33.18
66,71,Univ of Hartford,66.288,1,,68.288,62.758,,,62.758,,,,DNA,,,,DNA,62.758,,28.58
67,92,Clarkson University,69.410,,,69.410,63.473,,,63.473,62.729,1,,64.729,63.435,1,,65.435,63.473,,25.37
68,46,York College of Pennsylvania,104.872,,,104.872,63.661,,,63.661,60.519,3,1,86.519,64.593,3,,70.593,63.661,,24.54
69,113,US Air Force Academy,55.791,,3,115.791,55.922,,3,115.922,73.227,,1,93.227,67.265,,,67.265,67.265,,9.46
70,24,Brown Univ,61.964,3,,67.964,56.322,,1,76.322,,1,,DNF,85.768,,,85.768,67.964,,6.72
